Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,0,49,0,51,0,0.0,0.05151521435573546,6,Train,0.05151521435573546,0.04552798434618105,,,,,0.0,,0,1,0
2026-07-22,0,49,1,68,0,0.0,0.09709953080912964,7,Train,0.09709953080912964,0.08632373360349194,,,,,0.0,,0,1,0
2026-07-22,0,A Line,0,59,0,0.0,0.058384089329076704,6,Train,0.058384089329076704,0.050552903221936264,,,,,0.0,,0,1,0
2026-07-22,0,A Line,1,61,0,0.0,0.0678087151025527,7,Train,0.0678087151025527,0.05859305943422136,,,,,0.0,,0,1,0
2026-07-22,0,B Line,0,46,0,0.0,0.022527422092546913,4,Train,0.022527422092546913,0.01964032461865183,,,,,0.0,,0,1,0
2026-07-22,0,B Line,1,13,0,0.0,0.00235343677638612,1,Train,0.00235343677638612,0.001968035836699331,,,,,0.0,,0,1,0
2026-07-22,0,40,0,110,0,0.0,0.07070625975010694,7,Train,0.07070625975010694,0.06211192362215657,,,,,0.0,,0,1,0
2026-07-22,0,40,1,91,0,0.0,0.053579692599641876,6,Train,0.053579692599641876,0.04664167771484901,,,,,0.0,,0,1,0
2026-07-22,0,C Line,0,54,0,0.0,0.1028451218930906,7,Train,0.1028451218930906,0.08921644303679914,,,,,0.0,,0,1,0
2026-07-22,0,C Line,1,38,0,0.0,0.057612647983104726,6,Train,0.057612647983104726,0.04928064257921734,,,,,0.0,,0,1,0
2026-07-22,0,D Line,0,70,0,0.0,0.09612520977496451,7,Train,0.09612520977496451,0.08421585522062845,,,,,0.0,,0,1,0
2026-07-22,0,D Line,1,48,0,0.0,0.051096675639883814,6,Train,0.051096675639883814,0.044103353986239026,,,,,0.0,,0,1,0
2026-07-22,0,E Line,0,72,0,0.0,0.08250211588791048,7,Train,0.08250211588791048,0.07093442462047549,,,,,0.0,,0,1,0
2026-07-22,0,E Line,1,71,0,0.0,0.08755551988132951,7,Train,0.08755551988132951,0.07501357009919389,,,,,0.0,,0,1,0
2026-07-22,0,F Line,0,47,0,0.0,0.028143811196486564,5,Train,0.028143811196486564,0.024267063104199238,,,,,0.0,,0,1,0
2026-07-22,0,F Line,1,42,0,0.0,0.02479126944503932,5,Train,0.02479126944503932,0.02123566511983057,,,,,0.0,,0,1,0
2026-07-22,0,239,0,45,0,0.0,0.005004120539700724,2,Train,0.005004120539700724,0.004390694891284733,,,,,0.0,,0,1,0
2026-07-22,0,239,1,4,0,0.0,7.422995981743264e-05,1,Train,7.422995981743264e-05,6.0495818684935826e-05,,,,,0.0,,0,1,0
2026-07-22,0,250,0,93,0,0.0,0.031209409880028096,5,Train,0.031209409880028096,0.027395651926988594,,,,,0.0,,0,1,0
2026-07-22,0,250,1,9,0,0.0,0.00044407066560389803,1,Train,0.00044407066560389803,0.0003618188180691541,,,,,0.0,,0,1,0
2026-07-22,0,165,0,3,0,0.0,1.1956436202579162e-05,1,Train,1.1956436202579162e-05,9.461839384553165e-06,,,,,0.0,,0,1,0
2026-07-22,0,184,0,19,0,0.0,0.0013208064856535535,1,Train,0.0013208064856535535,0.0011440622718204604,,,,,0.0,,0,1,0
2026-07-22,0,184,1,20,0,0.0,0.0015822866250266633,1,Train,0.0015822866250266633,0.0013684412206903997,,,,,0.0,,0,1,0
